科目（民法物権）,,民法物権,,,もっと深掘る,,問題,,,肢,,メモ
Bの土地をAの土地として善意のCと売買契約を締結した場合、その土地の登記名義がBの落ち度によってA名義となっており、かつCがそれを信じたことに過失がなければ、94条2項が類推適用され、CはBに対し土地の引き渡しを求めることができる,,,,,1. 根拠（条文・判例）結論：Bに「帰責事由」があれば可能真の所有者（B）が不実の登記（A名義）を自ら作ったり、放置したりしていた場合、それを信じた第三者（C）は保護されます。根拠条文：民法94条2項（類推適用）本来は「相手方と通じてした虚偽の意思表示」の規定ですが、これに準ずる状況にも法理を広げて適用します。根拠判例：最大判昭45.9.22（最重要）「所有者が不実の登記がされていることを知りながらこれを放置した場合には、民法94条2項を類推適用して、所有者はその不実の登記を信じて取引した第三者に対して、所有権を主張できない」と判示しました。考え方のポイント（権利外観法理）不実の外観： A名義の登記という嘘の見た目がある。帰責事由： その見た目を作った（または放置した）Bに落ち度がある。第三者の信頼： その見た目を信じたCを保護すべき。2. 具体例状況：Bは自分の土地を、便宜上Aの名義にしていた（またはAが勝手に書き換えたのをBが知っていて黙認していた）。Aが「自分の土地だ」と偽ってCに売り、移転登記をした。結果：Cが善意であれば、BはCに対して「それは自分の土地だ」と主張できなくなり、CはBに対して土地の引き渡しを求めることができます。3. 過去問の急所（ひっかけ対策）行政書士試験では、Bの「落ち度」の強弱によって、Cに**「無過失」まで必要か**が問われます。Bの状況（帰責事由）Cの要件（信頼）試験での扱いBが自ら進んで不実の登記を作った善意であればOK94条2項を直接（に近い形で）類推適用。Bが他人の勝手な登記を黙認していた善意・無過失が必要94条2項と110条を重ねて適用する（重畳適用）。Bが全く知らなかった保護されない原則としてBの勝ち（単なる他人物売買）。ひっかけパターン：「AがBに無断で、B所有の土地を自己名義に登記してCに売却した場合、Bがその事実を全く知らなくても、Cが善意であればBは土地の引き渡しを拒めない。」正解：×（Bに全く落ち度がないなら、Cは保護されません。これが「他人物売買」との境界線です）4. 周辺知識（整理表）アプリの解説として、以下の「善意・無過失のライン」を整理すると効果的です。論点相手方（C）の要件理由94条2項（直接適用）善意通謀した本人たちが一番悪いから。94条2項（類推適用・放置）善意・無過失本人の落ち度が「放置」程度なら、第三者にもそれなりの注意を求める。表見代理（110条など）善意・無過失代理権があるように見えたことに対する信頼を保護する。暗記用まとめカード94条2項類推適用 ＝ 嘘の登記 ＋ 本人の落ち度 ＋ 第三者の信頼。基本は「善意」でOKだが、本人の落ち度が低い（黙認・放置）なら、第三者は**「無過失」**まで求められる。本人の落ち度がゼロなら、第三者は勝てない（他人物売買）。,,,,,第三者が賃貸不動産を不法占有している場合、賃借人は、その賃借権が対抗要件を具備しているか否かを問わず、その不法占有者に対して、当該不動産の返還請求を行うことができる。,,
Lの土地をJが、Lに無断でLの代理人と称して売買契約を締結し、Jが亡くなりKが単独相続した場合、無権代理人の責任を継承し、損害賠償請求権を免れることはない,,,,,1. 根拠（条文・判例）結論：正しい無権代理人が死亡し、その地位を（本人以外の）第三者が相続した場合、相続人は無権代理人が負っていた責任を包括的に承継します。根拠条文：民法117条（無権代理人の責任）他人の代理人として契約をした者は、代理権を証明できず、かつ本人の追認を得られないときは、相手方の選択に従い、履行の請求または損害賠償の責任を負います。根拠条文：民法896条（相続の一般的効力）相続人は、相続開始の時から、被相続人の財産に属した一切の権利義務を承継します。考え方のポイント無権代理人の責任（117条）は、一種の法定責任であり、金銭賠償義務や履行義務を含む「負の財産（債務）」です。したがって、相続人はこれを受忍しなければなりません。2. 具体例状況：Lさんの土地を、Jさんが勝手に「Lさんの代理人」と偽って買主Mさんに売った（無権代理）。Lさんは追認を拒絶した。これにより、JさんはMさんに対して責任（履行または賠償）を負う状態になった。責任を果たす前にJさんが死亡し、Kさんが単独相続した。結果：買主Mさんは、相続人Kさんに対して「Jさんが負っていた損害賠償」を請求できます。Kさんは「自分はやっていない」と拒むことはできません。3. 過去問の急所（ひっかけ対策）行政書士試験では、このケースと「本人が無権代理人を相続したケース」の比較が最頻出です。本人が無権代理人を相続した場合（最判昭48.7.3）ポイント： 本人は「本人としての地位」で追認を拒絶できます。ひっかけ： 「相続によって無権代理行為は当然に有効となる」→ ×注意点： ただし、追認を拒絶しても、無権代理人の「債務（賠償責任）」は相続しているため、結局はお金を払うなどの責任は免れません。無権代理人が本人を相続した場合（最判昭40.6.18）ポイント： 無権代理人が「本人」になった以上、追認を拒絶するのは信義則に反するため、契約は当然に有効となります。4. 周辺知識（整理表）相続によって「本人」と「無権代理人」の地位が一人に重なった場合の処理まとめです。相続のパターン契約の効力理由無権代理人が本人を相続当然に有効自分でやったことを「本人だから」と否定するのは卑怯（信義則）。本人が無権代理人を相続当然には有効にならない本人はもともと拒否する権利があったから。第三者が無権代理人を相続有効にならない（責任のみ承継）ご提示のケース。契約を有効にする権限はないが、賠償責任は引き継ぐ。共同相続の場合全員が追認しない限り無効追認権は不可分。全員の合意が必要（最判T5.1.21）。暗記用まとめカード無権代理人の責任は「借金」と同じ。 相続人は拒めない。本人が相続した場合： 拒絶はできる（契約は無効のまま）が、賠償責任（お金）は払う必要がある。無権代理人が相続した場合： 逃げ場なし。契約は有効になる。,,,,,Dが所有する丙土地の上に、Eが権原なく丁建物を建設し、自己所有名義で建物保存登記を行った上でこれをFに譲渡したが、建物所有権登記がE名義のままとなっていた場合、Dは登記名義人であるEに対して丁建物の収去を求めることができる。（ｒ）,,
土地をOとPが共同相続し、OがPに無断で土地をQに売り、その事情を知らず、かつ、過失のないQが登記を備えた場合であっても、QはPの法定相続分を取得できない,,,,,1. 根拠（判例・条文）結論：正しい（QはPの分を取得できない）共同相続人の一人が、他の相続人の同意なく土地全体を売却した場合、他の相続人の「法定相続分」については、登記がなくても第三者に対抗（主張）できます。根拠となる判例：最大判昭38.2.22（最重要）判示： 「相続人がその法定相続分を超える部分を処分したとしても、その処分は無権利の範囲において無効であり、他の共同相続人は、自己の法定相続分を登記なくして第三者に対抗できる。」根拠条文：民法899条の2 第1項（改正民法）内容： 相続による権利の承継は、**「法定相続分を超える部分」**については登記をしなければ第三者に対抗できません。逆の解釈： **「法定相続分まで」**については、登記がなくても当然に第三者に対抗できる、という意味になります。2. 具体例状況：父が亡くなり、兄弟OとPが土地を1/2ずつ共同相続した。兄Oが勝手に「自分一人の土地だ」と言い張って、土地全部をQに売却し、Q名義に登記を移した。Qは「Oが持ち主だ」と信じており、過失もなかった。結果：弟Pは、Qに対して「その土地の半分（自分の法定相続分）は自分のものだ。登記を返せ」と主張できます。Qは土地の1/2（Oの持分）は取得できますが、残りの1/2（Pの持分）は取得できません。3. 過去問の急所（ここが狙われる！）行政書士試験では、**「法定相続分」なのか「遺産分割による取得」**なのかの区別が最大のポイントです。「法定相続分」なら：登記不要相続という「当然の法的効果」を重視するため、他の相続人の権利は登記がなくても守られます。「遺産分割（または遺言）」による、法定相続分を超える取得なら：登記が必要改正民法（899条の2）により、遺産分割で「全部もらった」という場合、その**「法定相続分（例：1/2）を超えたプラスアルファ分」**については、登記を先に備えたほうが勝ちとなります。4. 周辺知識（なぜQは保護されないのか？）受験生が「善意無過失のQがかわいそう」と感じやすい部分を論理的に整理します。概念理由・背景登記に公信力なし日本の不動産登記には「公信力」がありません。たとえ登記を信じて買っても、売主が無権利者（Pの持分についてはOは無権利）であれば、権利は取得できません。即時取得の不適用即時取得（192条）は「動産」の規定であり、不動産には適用されません。94条2項類推適用Pが「Oが自分一人の名義に登記していること」を知りながら放置していた、といったP側の落ち度がない限り、Qを保護するためにPの権利を奪うことはしません。暗記用まとめカード法定相続分： 登記なしで最強。第三者（Q）に勝てる。遺産分割（指定相続分）： 法定相続分を超える部分は「登記」が必要。早い者勝ち。理由： 登記には公信力がない ＋ 法定相続分は法律上当然の権利。,,占有権に関する次の記述のうち、民法の規定および判例に照らし、妥当でないものはどれか。,,,無権利者から土地を譲り受けた者は第三者にあたらないが、背信的悪意者からの善意転得者は権利取得が肯定される。,,
Aの土地をBが買い、所有権移転の仮登記をし、Aは土地をその事情を知らないCに売却し、所有権移転登記をした場合、Bは本登記をしない限りCに対抗できない,,,,,1. 根拠（条文・法理）結論：正しい仮登記には、それ自体に**対抗力（第三者に権利を主張する力）**はありません。後から本登記を備えた第三者（C）に勝つためには、自らも本登記を完了させる必要があります。根拠条文：不動産登記法106条（順位保全の効力）仮登記をしたものについて本登記をしたときは、その本登記の順位は、仮登記の順位による。考え方のポイント仮登記は「将来の本登記のために順位を予約しておく」ためのものです。登記簿上で対抗力を持つのはあくまで「本登記」のみであるため、仮登記の段階では、フルスペックの登記を備えたCが差し当たり優先されます。2. 具体例状況：A所有の土地をBが買い、Bは**「所有権移転の仮登記」**をした。その後、AがCにも土地を売り、Cが**「所有権移転の本登記」**を済ませた。結果：この時点では、有効な対抗要件を持っているのはCだけです。Bが「自分の方が先に買った」とCに主張して追い出すためには、仮登記を**「本登記」**に書き換える手続き（本登記の実行）が必要です。3. 過去問の急所（ひっかけ対策）行政書士試験では、「仮登記の時点での効力」と「本登記後の優先順位」を混同させる問題が頻出です。対抗力の有無問： 「所有権移転の仮登記をしていれば、本登記をしなくても後順位の第三者に対抗できる。」答：×（本登記をしない限り、対抗力は発生しません）順位の遡及（そきゅう）ポイント： Bが本登記を完了すると、その順位は仮登記の時に遡ります。その結果、Bが1番、Cが2番となり、BがCに優先することになります。利害関係人の承諾問： 「仮登記に基づき本登記を申請する場合、登記上の利害関係人である第三者（C）の承諾を得る必要はない。」答：×（不動産登記法109条により、Cの承諾（またはそれに代わる裁判の判決）が必要です）4. 周辺知識（セットで覚えるべき知識）項目内容職権抹消Bが本登記をすると、順位で劣ることになったCの登記は、登記官によって職権で抹消されます。物権変動の時期順位は遡りますが、「所有権を取得した時期」までは遡りません。これは時効取得の起算点や損害賠償の範囲などで重要になります。仮登記の種類1号仮登記（書類不備など）と2号仮登記（請求権保全）がありますが、順位保全の効力は共通です。暗記用まとめカード仮登記： 順位の予約席。座っているだけでは対抗力ゼロ。本登記： 予約席を確定させる行為。これをして初めて第三者を排除できる。遡及： 順位だけが仮登記時に遡る（権利取得の時期は遡らない）。,,,,,取消後の第三者は要登記、解除前後の第三者は要登記。,,
Aの土地にBが無断で建物を築造し、登記も備えた場合、Aから土地を買い受けたCは、登記の名義人であるBに対し、建物の収去および甲土地の明け渡しを請求できる,,,,,1. 根拠（条文・判例）結論：正しい（Cは登記がなくても請求できる）土地の譲受人（C）は、その土地を不法に占有している者（B）に対しては、土地の所有権移転登記を備えていなくても、建物の収去および土地の明け渡しを請求することができます。根拠となる判例：最判昭33.7.11（最重要）判示： 「不動産の譲受人は、その所有権の取得を登記していなくても、当該不動産を不法に占有する者に対しては、所有権に基づきその返還または排除を請求することができる。」論理のポイント（民法177条の「第三者」）民法177条では「不動産の物権変動は登記をしなければ第三者に対抗できない」とされています。しかし、この「第三者」とは、登記の欠缺（欠けていること）を主張する正当な利益を有する者に限定されます。**不法占拠者（B）**は、土地を占有する正当な権原がないため、この「第三者」には含まれません。したがって、真のオーナーであるCは、登記という「武器」を持たずとも、所有権そのものの力でBを排除できます。2. 具体例状況：A所有の土地を、Bが勝手に使い、建物を建てて保存登記までした（不法占拠）。CがAからこの土地を買い受けたが、まだ自分の名義に登記を変えていない。対抗関係：Bが「お前の名義になっていないじゃないか」と反論しても、裁判所は「Bは正当な権利者ではないので、Cの未登記を突く資格はない」と判断します。もしBが不法占拠者ではなく「借地人」だったら？Bが有効な借地権（対抗要件あり）を持っていた場合、CがBに対し「新しいオーナーは俺だ」と主張して地代を請求したり立ち退きを求めたりするには、C自身の登記が必要になります。3. 過去問の急所（ひっかけ対策）行政書士試験では、「登記が必要なケース」と「不要なケース」の区別が頻出です。登記が「不要」な相手（Cが勝てる相手）不法占拠者・無権利者（今回のケース）背信的悪意者（単なる悪意を超えて、嫌がらせ目的などで取引した者）不法行為者（土地や建物を壊した者）登記が「必要」な相手（Cが登記しないと負ける相手）二重譲渡の譲受人（AがDにも売ってしまった場合のD）差押債権者（Aの債権者で、土地を差し押さえた者）正当な賃借人・地上権者4. 周辺知識（整理表）アプリの解説として、以下のフローチャート的な整理は受験生に喜ばれます。請求の内容相手方の属性Cの登記の要否理由建物収去・明渡不法占拠者不要相手は177条の「第三者」ではないから。損害賠償・不当利得不法占拠者不要債権的請求であり、所有権の帰属が証明できればOK。賃料請求・解約申入正当な賃借人必要賃貸人たる地位の主張には登記が必要（判例）。暗記のポイント：「泥棒（不法占拠者）に追い出しをかけるのに、名刺（登記）を見せる必要はない」と覚えましょう。対等な取引関係にある「第三者」にだけ名刺が必要なのです。受験生へのアドバイス「177条の第三者」の範囲は、物権法の中で最も重要な定義の一つです。「誰が第三者で、誰がそうでないか」のリストを頭に入れることが、合格への最短距離です。次は、これに関連して**「土地を二重に買った人同士（二重譲渡）で、先に登記を備えた方が勝つ」という原則と、その例外である「背信的悪意者」**の判断基準についてまとめましょうか？,,Aが登記簿上の所有権名義人である甲土地をBが買い受ける旨の契約（以下「本件売買契約」という。）をA・B間で締結した場合に関する次のア～オの記述のうち、民法の規定および判例に照らし、妥当なものの組合せはどれか。,,,甲土地は実際にはCの所有に属していたが、CがAに無断で甲土地の所有名義人をAとしていた場合において、Aがその事情を知らないBとの間で本件売買契約を締結したときであっても、BはCに対して甲土地の引渡しを求めることができない。,,
Aの土地をBの時効完成前に、CがAから土地を買い受けて登記を備えた場合、その後時効取得したBは登記なくしてCに対抗できる,,,,,1. 根拠（条文・判例）結論：可能（Bは登記なくしてCに対抗できる）時効の完成前に土地の所有権を取得して登記を備えた第三者（C）に対しては、時効取得者（B）は登記を備えていなくても所有権を主張できます。根拠となる判例：最判昭41.7.20（最重要）判示： 「不動産の時効取得者は、時効完成前に当該不動産を譲り受けて登記を経た者に対しては、登記がなくても時効による所有権の取得を対抗することができる。」論理のポイント（当事者か第三者か）時効完成前にCが土地を買った場合、時効取得者Bから見れば、所有者がAからCに入れ替わっただけです。つまり、Cは「時効によって権利を失う当事者」そのものであり、民法177条が言うところの「登記がないと対抗できない第三者」には当たらないと解釈されます。2. 具体例（時効のタイムライン）状況：BがAの土地を「自分のもの」と信じて占有開始（時効スタート）。時効完成前（例：15年目）、Aが土地をCに売り、Cが登記をした。さらに5年が経過し、Bの時効（20年）が完成した。結果：Bは、現在のオーナーであるCに対し、「時効が完成したから、この土地は俺のものだ」と登記なしで主張できます。Cは時効を中断させなかった以上、権利を失うのを甘受しなければなりません。3. 過去問の急所（「前」か「後」か！）行政書士試験において、この論点は**「時効完成のタイミング」**がすべてです。問題文の時系列を読み解くのが得点への鍵となります。「時効完成後」の第三者との比較（最判昭33.8.28）状況： 時効が完成した後に、Aが土地をDに売り、Dが登記をした場合。結論： Bは登記がなければDに勝てません。理由： 時効完成によってBが所有権を得た後、AがDに売ったということは、Aを起点とした「二重譲渡」と同じような関係になるため、登記の早い者勝ち（177条）になります。4. 周辺知識（整理表）受験生が混乱しやすい、時効と登記の対抗関係まとめです。相手方の属性登記の要否理由時効完成「前」の第三者不要相手は「権利を失う当事者」だから。時効完成「後」の第三者必要二重譲渡に類似した対抗関係になるから。時効完成「後」の再取得者不要（特殊な判例：最判昭36.7.20）※下記参照【発展】時効完成後の再時効取得時効完成後に第三者（D）が登記を備えてしまった場合でも、Bがさらにそこから占有を継続し、再度時効期間（さらに20年など）を満たした場合は、BはDに対して登記なく所有権を主張できます。これを「時効完成後の再時効取得」と呼びます。暗記用まとめカード完成前： Cは当事者。Bはノー登記で勝利。完成後： Dとは早い者勝ち。Bは登記必須。合言葉： 「前は当事者、後は第三者」。,,,,,甲土地はAの所有に属していたところ、Aの父であるDが、Aに無断でAの代理人と称して本件売買契約を締結し、その後Dが死亡してAがDを単独で相続したときは、Aは、Dの法律行為の追認を拒絶することができ、また、損害賠償の責任を免れる。,,
Aの土地をBが時効取得した後、Aが背信的悪意者であるGに土地を売却した場合、BはGに登記なくして対抗できる,,,,,ac,,,,,甲土地が相続によりAおよびEの共有に属していたところ、AがEに無断でAの単独所有名義の登記をしてBとの間で本件売買契約を締結し、Bが所有権移転登記をした場合において、Bがその事情を知らず、かつ、過失がないときは、Bは甲土地の全部について所有権を取得する。,,
Aの土地をBが時効取得し、その後GがAから土地を買い受けて所有権移転登記を完成した場合が、Bはさらに取得時効に必要な期間を経過した後にGに時効を援用すれば、Bは登記なくしてGに対抗できる,,,,,1. 根拠（判例）結論：可能（登記なくして対抗できる）一度時効が完成した後に第三者が登記を備えた場合でも、その時点からさらに時効期間（占有）が継続し、「再度の時効」が完成すれば、占有者はその第三者に対して登記なくして所有権を主張できます。根拠となる判例：最判昭36.7.20（最重要）判示： 「不動産を取得時効した者は、その後に登記を経た第三者に対しても、その登記後さらに時効取得に必要な期間占有を継続したときは、登記なくして、その第三者に対し、時効による権利の取得を対抗することができる。」論理のポイント（当事者関係への回帰）時効完成「後」の第三者（G）が現れた直後は、両者は対抗関係（民法177条）にあり、先に登記したGが優先されます。しかし、Gが登記した時点から新たに時効が進行し始めたと考えます。再度の時効が完成すると、Gは「時効によって権利を失う直接の当事者」となるため、177条の「第三者」には該当しなくなります。2. 具体例（時系列図解）フェーズ1：最初の時効完成A所有の土地を、Bが20年間占有し時効が完成した。フェーズ2：第三者の出現（対抗関係）Bが登記する前に、第三者（G）がAから土地を買い受け、所有権移転登記を完了した。→ この時点では、GがBに優先する。フェーズ3：再度の時効取得（当事者関係）Bは諦めずに占有を続け、Gが登記した時からさらに20年間占有を継続した。→ 再度の時効が完成し、BはGに対し、登記がなくても「自分の土地だ」と主張できる。3. 過去問の急所（ひっかけ対策）行政書士試験では、**「どの時点から数えて何年か」**という計算と、登記の要否が問われます。起算点の固定ポイント： 再度の時効を主張する場合、その起算点は**「第三者（G）が登記を備えた時」**となります。ひっかけ： 「再度の時効取得を主張する場合であっても、最初の占有開始時を起算点として計算しなければならない。」正解：×（それだと、Gが「完成後の第三者」という地位のまま固定されてしまいます。Gの登記時を新たなスタートラインにする必要があります）「10年」か「20年」かポイント： 再度の時効取得においても、占有開始（Gの登記時）の態様によって、10年（善意無過失）または20年が適用されます。4. 周辺知識（まとめ）受験生が混乱しやすい、時効と登記の全パターン整理です。シナリオ相手方の属性登記の要否時効完成「前」に登場当事者（または承継人）不要時効完成「後」に登場第三者（通常）必要（早い者勝ち）時効完成「後」に登場背信的悪意者不要登場「後」にさらに時効完成再取得の当事者不要（今回のケース）暗記のポイント：「時効完成後の第三者には負けるが、そこからさらに20年粘れば、その第三者を『当事者』として飲み込める」とイメージしましょう。,,,,,甲土地はAの所有に属していたところ、本件売買契約が締結され、B名義での所有権移転の仮登記がされた場合において、Aが甲土地をその事情を知らないFに売却し所有権移転登記をしたときは、Bは本登記をしない限りFに対して所有権の取得を対抗することができない。（ｒ）,,
Aの土地をBが時効取得し、その後GがAから土地を買い受けて抵当権設定登記を完了した場合、Bはさらに取得時効に必要な期間を経過した後にGに時効を援用すれば、Bは土地を時効取得し、Gの抵当権は消滅する,,,,,1. 根拠（判例・法理）結論：抵当権はリセットされる一度時効が完成した後に設定された抵当権であっても、その登記後さらに時効期間（10年または20年）が経過すれば、占有者は**「抵当権の負担のない完全な所有権」**を原始取得します。根拠となる判例：最判昭36.7.20（およびその法理の応用）「再度の時効取得」が完成すると、その間に現れた権利者（所有権譲受人や抵当権者）は、時効完成によって権利を失う**「直接の当事者」**という立ち位置に変わります。考え方のポイント（原始取得）：時効取得は、前の人の権利を引き継ぐ（承継取得）のではなく、真っさらな状態で新しく権利が発生する（原始取得）ものです。時効が完成した瞬間に、その土地にのっていた他人の権利（Gの抵当権）は、原則としてすべて消滅します。2. 具体例（時系列図解）フェーズ1：1度目の時効完成A所有の土地をBが20年間占有。Bは所有権を得るが、未登記。フェーズ2：Gの抵当権設定（Bの劣後）Bが登記する前に、AがGから金を借り、土地に抵当権を設定して登記した。→ この時点では、Gが登記を備えた「完成後の第三者」なので、BはGの抵当権を認めざるを得ません（対抗関係）。フェーズ3：再度の時効完成（Bの逆転勝利）Bはそのまま占有を継続し、Gの登記から**さらに20年（または10年）**が経過。→ 「再度の時効」が完成。Bは、Gの抵当権が消えた状態の所有権を登記なしで主張できます。3. 過去問の急所（試験での問われ方）行政書士試験では、**「登記の要否」と「抵当権が消えるか残るか」**の組み合わせを正確に判断する必要があります。登記は不要：再度の時効が完成したとき、Gは「時効によって権利を制限される当事者」となります。民法177条の「登記がないと文句が言えない第三者」ではないため、Bは登記なしで勝てます。抵当権は消滅：「抵当権の負担を引き継がなければならない」という選択肢があれば**×（誤り）**です。原始取得の性質上、抵当権は消滅します。起算点の固定：再度の時効を主張する場合、そのスタート地点（起算点）は、Gが抵当権設定登記を完了した時にする必要があります。4. 周辺知識（まとめ表）受験生が混乱しやすい、時効取得と抵当権の全パターン整理です。シナリオ抵当権設定の時期時効取得者（B）の結論パターン1Bの時効完成前最初の時効完成で、抵当権は当然に消滅する。パターン2B.の時効完成後原則、Bは抵当権の負担を負う（早い者勝ち）。パターン3パターン2の後に再時効再度の時効完成により、抵当権は消滅する。暗記のポイント：「時効完成後の第三者には一度負けるが、そこからさらに時効期間粘れば、その第三者の権利（所有権でも抵当権でも）を消滅させることができる」という「粘り勝ち」のルールとして覚えましょう。受験生へのアドバイスこの「再度の時効取得」は、近年の民法改正の影響を受けない判例法理であり、試験でも非常に好まれる論点です。特に「登記なしで対抗できる」という結論は、記述式でも狙われやすいため、しっかり押さえておきましょう。,,,,,甲土地はAの所有に属していたところ、GがAに無断で甲土地上に建物を築造し、その建物の所有権保存登記をした場合において、本件売買契約により甲土地の所有者となったBは、Gが当該建物の所有権を他に譲渡していたとしても、登記名義がGにある限り、Gに対して当該建物の収去および土地の明渡しを求めることができる。（ｒ）,,
Aの土地をBが時効取得し、その後GがAから土地を買い受けて登記を備えた場合、BはGに対し登記なくして対抗することはできず、Bが時効完成時期を任意に選択することはできない,,,,,1. 根拠（判例）結論：Bは登記がないと負ける ＆ 起算点を動かせない時効完成後の第三者との関係（最判昭33.8.28）時効完成後にAから土地を買い受け、登記を備えたGは、民法177条の「第三者」に該当します。したがって、BとGは**登記の早い者勝ち（対抗関係）**になります。Bが登記をしていない以上、先に登記をしたGには勝てません。起算点選択の禁止（最判昭35.7.27）Bは「本当は30年前から住んでいるけど、Gが登記した直後に時効が完成するように、20年前をスタート地点（起算点）にしよう」といった起算点の任意選択は認められません。2. なぜ「起算点の選択」を禁止するのか？もしBが自由に起算点を選べると、以下のような**「ズル」**が可能になってしまうからです。事実： Bの占有は2010年〜2030年（2030年に時効完成）。事件： 2031年にGが土地を買って登記した。Bのズル： 「じゃあ、2012年を起算点にしよう。そうすれば時効完成は2032年になる。Gは時効完成『前』の第三者になるから、俺は登記なしで勝てるぞ！」このように、Bが起算点を操作することで、「時効完成『後』の第三者（登記が必要）」を「時効完成『前』の第三者（登記不要）」にすり替えることを許すと、不動産取引の安全（177条）が根底から崩れてしまいます。そのため、時効の起算点は「占有開始の時」という客観的な事実に固定されます。3. 過去問の急所（ひっかけ対策）行政書士試験では、この原則の**「唯一の例外」**が狙われます。原則： 起算点は動かせない（客観的事実で決まる）。例外： 時効期間中、一度も所有者に変更がなかった場合もし時効の20年（または10年）の間、ずっと所有者がAのままで、第三者が一人も現れていないのであれば、起算点を多少前後させて主張しても、誰の不利益にもならないため、例外的に許容される場合があります。重要： しかし、試験では「第三者（G）が登場したケース」が前提になるため、**「起算点は動かせない」**と覚えておくのが正解への近道です。4. 周辺知識（整理表）相手方（G）の属性登記の要否理由時効完成「前」に登記不要Gは当事者（の承継人）だから。時効完成「後」に登記必要177条の対抗関係（早い者勝ち）だから。（Bの対抗策）起算点の操作不可177条を無意味にする脱法行為だから。暗記用まとめカード完成後のG： 177条の第三者。Bは登記がないと負け。起算点： 占有開始時に固定。勝手にずらして「完成前」に偽装するのは禁止。目的： 不動産取引の安全（登記制度）を守るため。,,Aが所有する甲土地につき、Bの所有権の取得時効が完成し、その後、Bがこれを援用した。この場合に関する次の記述のうち、民法の規定および判例に照らし、妥当でないものはどれか。,,,Bの時効完成前に、CがAから甲を買い受けて所有権移転登記を了した場合、Bは、Cに対して、登記なくして時効による所有権取得をもって対抗することができる。,,
動産の譲受人は引き渡しを受けなければ第三者にはあたらず、当該動産の差し押さえを行った者に対抗することができない,,,,,1. 根拠（条文）結論：引渡しがないと差押債権者に勝てない動産の所有権を譲り受けても、引渡しを受けていない間に、元の所有者の債権者がその動産を差し押さえた場合、譲受人は「自分が新しい所有者だ」と主張（対抗）できません。根拠条文：民法178条「動産に関する物権の譲渡は、その動産の引渡しがなければ、第三者に対抗することができない。」論理のポイント（178条の「第三者」）不動産の177条と同様、178条の「第三者」には、差押債権者や二重譲渡の譲受人が含まれます。つまり、誰が本当の持ち主かを外から判断する唯一の基準が「引渡し」です。2. 「引渡し」の4つのパターン（超重要）行政書士試験では、「現実の手渡し」以外の引渡し方法が非常に重要です。これらはいずれも178条の「引渡し」に含まれます。種類内容例現実の引渡し実際に物を手渡す。店で商品を受け取る。簡易の引渡しすでに持っている人に、意思表示だけで権利を移す。借りていた本を、そのまま買い取る。占有改定売った後も、売主がそのまま預かり続ける。ピアノを買ったが、運送の日まで店に置いておく。指図による占有移転第三者に預けている物を、意思表示だけで移す。R庫業者に預けている荷物を、買った人に移転させる。3. 過去問の急所（ひっかけ対策）「占有改定」でも対抗できる！問： 「占有改定による引渡しでは、差押債権者に対抗することができない。」答：×ポイント： 占有改定（183条）も有効な引渡しです。たとえ物がまだ売主の手元にあっても、占有改定の手続きさえ済んでいれば、譲受人は差押債権者に勝てます。不動産との対比不動産 ＝ 登記動産 ＝ 引渡しこのシンプルな対比が、複雑な問題（例えば、不動産から取り外された動産の帰属など）を解く際の土台になります。4. 周辺知識（即時取得との関係）ここが混乱しやすいポイントですが、セットで覚えてください。対抗要件としての引渡し（178条）：「正当な権利者（売主）」から買った場合に、ライバル（第三者）に勝つための要件。即時取得の要件（192条）：「無権利者」から買った場合に、真の所有者から権利を奪うための要件。重要： 即時取得の場合、引渡しのうち**「占有改定」だけは認められません**（最判昭35.2.11）。対抗要件（178条）では占有改定もOKなのに、ここが最大のひっかけポイントです。暗記用まとめカード動産の対抗要件： 引渡し（178条）。第三者： 二重譲渡の相手、差押債権者など。引渡しの種類： 4種類すべて対抗要件として有効（占有改定含む）。,,,,,Bの時効完成後に、DがAから甲を買い受けて所有権移転登記を了した場合、Bは、Dに対して、Dが背信的悪意者であったと認められる特段の事情があるときでも、登記なくして時効による所有権取得を対抗することはできない。（ｒ）,,
